"Product type","Type de produit"
"Shipping type","Type de livraison"
"Categories shipping times","D&eacute;lai de livraison par cat&eacute;gorie"
"Transport shipping times","D&eacute;lai de livraison par type de transport"
"Log","Journal"
"Configuration payment","Configuration des moyens de paiement"
"Categories configuration","Configuration des cat&eacute;gories"
"Shipping methods list","Liste des m&eacute;thodes de livraison"
"Shipping method","M&eacute;thode de livraison"
"FIA-NET Shipping type","Type de livraison FIA-NET"
"Shipping speed","Rapidit&eacute; de livraison"
"Conveyor","Convoyeur"
"Shipping times","D&eacute;lai de livraison"
"Shipping times no stock","D&eacute;lai de livraison si rupture de stock"
"Name","Nom"
"Quantity","Quantit&eacute;"
"Shipping times by delivery","D&eacute;lai de livraison par m&eacute;thode de livraison"
"Encrypted key","Cl&eacute; crypt&eacute;e"
"General configuration","Configuration générale"
"Enabled","Activ&eacute;"
"The site ID is provided in your Certissim account","Le Site ID est fourni dans votre compte Certissim"
"The Login is provided in your Certissim account","Le Login est fourni dans votre compte Certissim"
"The Password is provided in your Certissim account","Le Mot de passe est fourni dans votre compte Certissim"
"Test or production mode","Mode test ou production"
"Password","Mot de passe"
"Encryption mode","Mode"
"Charset","Jeu de caract&egrave;re"
"Default product type","Type de produit par d&eacute;faut"
"List of Magento's Statuses","Liste des Statuts Magento"
"Select the status for which the transaction will be sent to CERTISSIM system (multiple selections possible)","Selectionnez le statut pour lequel la transaction sera soumise au syst&egrave;me Certissim (multis&eacute;lection possible)"
"Maximum delay to sending commands (in day)","D&eacute;lai maximum d'envoi des commandes en jour"
"Orders placed before this time will not be sent to CERTISSIM","Les commandes pass&eacute;es il y a plus de X jours ne seront pas soumises au syst&egrave;me Certissim"
"Links","Liens"
"Production URL","URL de Production"
"Test URL","URL de Test"
"Sending script's orders","Script d'envoi des commandes"
"Recovery script's evaluations","Script de r&eacute;cup&eacute;ration des &eacute;valuations"
"Recovery script's reevaluations","Script de r&eacute;cup&eacute;ration des r&eacute;&eacute;valuations"
"CERTISSIM Interface","Interface CERTISSIM"
"Check XML","Page de v&eacute;rification du flux XML"
"Data succesfully saved.","Les donn&eacute;es ont &eacute;t&eacute; sauvegard&eacute;es"
"Status","Statut"
"Value","Valeur"
"Notify customer ?","Notifier client ?"
"Partial cancellation","Annulation partielle"
"Cancel","Annulation"
"Are you sure ?","Etes-vous certain ?"
"Success.","Succ&egrave;s"
"Success, not yet funded.","Succ&egrave;s, pas encore financ&eacute;"
"Payment statut not found","Status du paiement non trouv&eacute;"
"Order under control","Commande sous surveillance"
"Positive score","Score positif"
"Negative score","Score negatif"
"Validate","Valider"
"Last tag","Dernier Tag"
"Choose Store","Choisir une vue magasin"
"Apply to sub-categories","Appliquer au sous-cat&eacute;gories"
"This payment method is currently in test phase, no payment possible.","Cette m&eacute;thode de paiement est actuellement en phase de test, aucun paiement n'est possible"
"Credit card","Carte bancaire"
"Money order","Chèque"
"Against repayment","Contre-remboursement"
"Transfer","Virement"
"Credit card in x times","Carte bancaire en plusieurs fois"
"Paypal","Paypal"
"Processing statuts","Statuts processing"
